started_at,ended_at,duration,start_station_id,start_station_name,start_station_description,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_description,end_station_latitude,end_station_longitude
2023-12-01 04:25:27.813000+00:00,2023-12-01 04:30:21.425000+00:00,293,735,Oslo Hospital,ved trikkestoppet,59.90321254732584,10.7673442932541,381,Grønlands torg,ved Tøyenbekken,59.91252,10.76224
2023-12-01 04:44:29.193000+00:00,2023-12-01 04:51:00.075000+00:00,390,403,Parkveien,ved trikkestoppet,59.921768,10.730476,478,Jernbanetorget,Europarådets plass,59.911901,10.749929
2023-12-01 04:47:43.921000+00:00,2023-12-01 04:54:17.706000+00:00,393,406,Carl Berners plass sør,langs Finnmarkgata,59.92507,10.775996,495,Vaterlandsparken,langs Brugata,59.91351552854147,10.757334670552268
2023-12-01 04:54:02.556000+00:00,2023-12-01 04:57:37.367000+00:00,214,478,Jernbanetorget,Europarådets plass,59.911901,10.749929,611,Bankplassen,ved Kirkegata,59.908454,10.741869
2023-12-01 05:00:24.447000+00:00,2023-12-01 05:10:22.510000+00:00,598,499,Bjerregaards gate,ovenfor Fredrikke Qvams gate,59.925488,10.746058,548,Colbjørnsens gate,ved Skovveien,59.91731888534716,10.716909039918278
2023-12-01 05:04:36.942000+00:00,2023-12-01 05:06:44.553000+00:00,127,605,Økernveien,ved Ensjøveien bussholdeplass,59.917023632719406,10.779880090762617,408,Tøyen skole,forsiden av skolebygget,59.914943,10.773977
2023-12-01 05:04:44.854000+00:00,2023-12-01 05:11:00.169000+00:00,375,455,Sofienbergparken sør,langs Sofienberggata,59.922337,10.7617503,480,Helga Helgesens plass,langs Grønlandsleiret,59.9121109,10.7661939
2023-12-01 05:05:23.650000+00:00,2023-12-01 05:18:55.968000+00:00,812,605,Økernveien,ved Ensjøveien bussholdeplass,59.917023632719406,10.779880090762617,421,Alexander Kiellands Plass,langs Maridalsveien,59.92806670615684,10.751202636819613
2023-12-01 05:07:15.382000+00:00,2023-12-01 05:20:51.747000+00:00,816,443,Sjøsiden 1 ved trappen,to rader nærmest trappen,59.91014291324254,10.752003700187942,399,Uelands gate,Ved Ulvetrappen (Ilatrappen),59.929545,10.7489862
2023-12-01 05:09:50.058000+00:00,2023-12-01 05:14:35.348000+00:00,285,735,Oslo Hospital,ved trikkestoppet,59.90321254732584,10.7673442932541,465,Bjørvika,under broen Nylandsveien,59.909006,10.75618
2023-12-01 05:12:26.915000+00:00,2023-12-01 05:45:33.032000+00:00,1986,583,Galgeberg,langs St. Halvards gate,59.90707579234818,10.779164402446728,484,Karenslyst allé,ved Skabos vei,59.92033,10.683814
2023-12-01 05:15:20.781000+00:00,2023-12-01 05:24:22.158000+00:00,541,480,Helga Helgesens plass,langs Grønlandsleiret,59.9121109,10.7661939,2280,Klingenberggata,By Olav V street,59.913150534075015,10.732281291700133
2023-12-01 05:17:58.118000+00:00,2023-12-01 05:29:20.916000+00:00,682,564,Oscars gate,ved Hegdehaugsveien,59.9224222,10.7272388,452,Vippetangen vest,nærmest Rådhuset,59.903989,10.740627
